year,n,type
2017,16,все сотрудники
2018,21,все сотрудники
2019,24,все сотрудники
2020,30,все сотрудники
2021,27,все сотрудники
2022,30,все сотрудники
2023,39,все сотрудники
2024,30,все сотрудники
2025,35,все сотрудники
2017,9,молодые ученые (до 39 лет)
2018,13,молодые ученые (до 39 лет)
2019,12,молодые ученые (до 39 лет)
2020,18,молодые ученые (до 39 лет)
2021,13,молодые ученые (до 39 лет)
2022,15,молодые ученые (до 39 лет)
2023,25,молодые ученые (до 39 лет)
2024,23,молодые ученые (до 39 лет)
2025,29,молодые ученые (до 39 лет)
